year,ari_design,duration,n_exceedances
1953,50,24hr,0
1954,50,24hr,0
1955,50,24hr,0
1956,50,24hr,0
1957,50,24hr,0
1958,50,24hr,0
1959,50,24hr,0
1960,50,24hr,2
1961,50,24hr,0
1962,50,24hr,1
1963,50,24hr,0
1964,50,24hr,0
1965,50,24hr,0
1966,50,24hr,0
1967,50,24hr,0
1968,50,24hr,0
1969,50,24hr,0
1970,50,24hr,0
1971,50,24hr,0
1972,50,24hr,0
1973,50,24hr,0
1974,50,24hr,0
1975,50,24hr,0
1976,50,24hr,0
1977,50,24hr,0
1978,50,24hr,0
1979,50,24hr,3
1980,50,24hr,0
1981,50,24hr,0
1982,50,24hr,0
1983,50,24hr,1
1984,50,24hr,0
1985,50,24hr,0
1986,50,24hr,0
1987,50,24hr,0
1988,50,24hr,0
1989,50,24hr,0
1990,50,24hr,0
1991,50,24hr,0
1992,50,24hr,0
1993,50,24hr,0
1994,50,24hr,0
1995,50,24hr,0
1996,50,24hr,0
1997,50,24hr,0
1998,50,24hr,0
1999,50,24hr,0
2000,50,24hr,0
2001,50,24hr,0
2002,50,24hr,0
2003,50,24hr,0
2004,50,24hr,0
2005,50,24hr,0
2006,50,24hr,0
2007,50,24hr,0
2008,50,24hr,0
2009,50,24hr,0
2010,50,24hr,0
2011,50,24hr,0
2012,50,24hr,1
2013,50,24hr,0
2014,50,24hr,0
2015,50,24hr,0
2016,50,24hr,0
2017,50,24hr,3
2018,50,24hr,0
2019,50,24hr,0
2020,50,24hr,0
2021,50,24hr,1
2022,50,24hr,2
2023,50,24hr,0
2024,50,24hr,6
2025,50,24hr,0
1900,100,24hr,0
1901,100,24hr,0
1902,100,24hr,0
1903,100,24hr,1
1904,100,24hr,0
1905,100,24hr,0
1906,100,24hr,0
1907,100,24hr,0
1908,100,24hr,0
1909,100,24hr,0
1910,100,24hr,0
1911,100,24hr,0
1912,100,24hr,0
1913,100,24hr,0
1914,100,24hr,0
1915,100,24hr,1
1916,100,24hr,0
1917,100,24hr,0
1918,100,24hr,0
1919,100,24hr,0
